  Ex = [mV]  ,  Ey = [mV]  ,Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  1.296997  ,  0.0897497  ,  0.2746582  ,  0.2838135  ,  -2.423096  
  0.5401611  ,  0.1177362  ,  -3.051758E-03  ,  0.2990723  ,  -2.105713  
  0.8636475  ,  0.1013303  ,  -1.525879E-02  ,  0.5828857  ,  -1.971436  
  6.408691E-02  ,  6.465839E-02  ,  -0.3845215  ,  0.4943848  ,  -1.776123  
  -0.402832  ,  0.2962705  ,  0.2990723  ,  0.402832  ,  -2.011108  
  -0.2105713  ,  0.3908455  ,  1.434326  ,  0.5523682  ,  -2.46582  
  0.5584717  ,  0.3792649  ,  2.038574  ,  0.881958  ,  -2.554321  
  0.6439209  ,  0.1891499  ,  1.828003  ,  1.205444  ,  -2.441406  
  -0.2197266  ,  0.1283517  ,  1.199341  ,  0.9765625  ,  -2.151489  
  -0.3417969  ,  0.2885501  ,  1.184082  ,  0.869751  ,  -2.304077  
  -0.378418  ,  0.1206313  ,  1.049805  ,  0.8117676  ,  -1.986694  
  -1.794434  ,  -0.2065208  ,  -0.4638672  ,  -0.177002  ,  -0.7568359  
  -1.367188  ,  -3.667192E-02  ,  -1.147461  ,  -0.6469727  ,  -0.5065918  
  -0.2807617  ,  0.19108  ,  -0.894165  ,  -0.4608154  ,  -1.043701  
  0.4394531  ,  0.3329425  ,  0.112915  ,  0.1800537  ,  -1.78833  
  0.3387451  ,  0.2982006  ,  0.2716064  ,  0.2746582  ,  -1.895142  
  -0.3570557  ,  -4.632243E-02  ,  -0.1617432  ,  0.2441406  ,  -1.733398  
  -0.9521484  ,  0.113876  ,  -0.8239746  ,  -0.1190186  ,  -1.358032  
  -6.103516E-02  ,  0.5182322  ,  0.7537842  ,  0.4302979  ,  -1.928711  
  -3.051758E-03  ,  0.3522435  ,  1.589966  ,  0.7507324  ,  -2.13623  
  -0.6439209  ,  0.1360721  ,  0.6652832  ,  0.4486084  ,  -1.980591  
  -0.8392334  ,  0.2306471  ,  0.5706787  ,  0.2349854  ,  -1.989746  
  -0.4089355  ,  0.171779  ,  0.4974365  ,  0.3173828  ,  -2.008057  
  1.077271  ,  0.4236572  ,  1.019287  ,  0.982666  ,  -2.307129  
  0.5645752  ,  0.4892806  ,  2.545166  ,  1.385498  ,  -2.587891  
  -1.171875  ,  5.114768E-02  ,  1.782227  ,  0.6774902  ,  -2.154541  
  -0.5218506  ,  -5.404283E-02  ,  0.27771  ,  0.3662109  ,  -1.898193  
  -0.1312256  ,  -4.535738E-02  ,  -0.1586914  ,  0.4211426  ,  -1.690674  
  -0.5706787  ,  -8.878465E-02  ,  -0.8544922  ,  0.201416  ,  -1.312256  
  -0.7995605  ,  -5.114768E-02  ,  -0.8666992  ,  9.765625E-02  ,  -1.287842  
  -0.7049561  ,  -3.860202E-03  ,  -1.522827  ,  -0.4699707  ,  -1.141357  
  0.1831055  ,  0.2624938  ,  -0.7263184  ,  4.272461E-02  ,  -1.651001  
  -1.831055E-02  ,  0.1032604  ,  -0.6835938  ,  0.1037598  ,  -1.66626  
  0.1434326  ,  0.3319774  ,  -0.213623  ,  0.1434326  ,  -1.446533  
  -0.1831055  ,  0.4458534  ,  1.119995  ,  0.3265381  ,  -1.766968  
  -0.3204346  ,  0.266354  ,  1.38855  ,  0.4211426  ,  -1.846313  
  -0.5615234  ,  0.2422277  ,  1.358032  ,  0.3662109  ,  -1.791382  
  -1.040649  ,  0.5047215  ,  2.06604  ,  -1.220703E-02  ,  -1.773071  
  -3.356934E-02  ,  0.5819255  ,  3.225708  ,  0.4089355  ,  -2.212524  
  -3.051758E-03  ,  0.342593  ,  3.50647  ,  0.6469727  ,  -2.22168  
  -1.220703E-02  ,  0.3368027  ,  3.491211  ,  0.6347656  ,  -2.218628  
  -1.019287  ,  0.2200315  ,  2.590942  ,  0.2502441  ,  -1.791382  
  -0.9124756  ,  0.4844554  ,  3.070068  ,  0.189209  ,  -2.020264  
  0.6072998  ,  0.2943404  ,  3.317261  ,  0.7843018  ,  -2.005005  
  0.2838135  ,  0.1032604  ,  1.89209  ,  0.9918213  ,  -0.9185791  
  -0.4058838  ,  0.0916798  ,  1.687622  ,  0.8850098  ,  -0.8758545  
  -1.321411  ,  4.342728E-02  ,  1.068115  ,  0.3417969  ,  -0.4638672  
  -0.2929688  ,  -4.053212E-02  ,  0.3845215  ,  0.3601074  ,  -0.4486084  
  -0.2410889  ,  -9.650505E-04  ,  -0.1556396  ,  0.3509521  ,  -0.4577637  
  0.6866455  ,  0.2982006  ,  0.7965088  ,  0.8636475  ,  -0.6958008  
  -1.525879E-02  ,  0.2779346  ,  1.473999  ,  0.9094238  ,  -0.793457  
  -0.302124  ,  0.3580337  ,  1.965332  ,  0.7965088  ,  -0.994873  
  -0.4852295  ,  -2.316121E-02  ,  1.443481  ,  0.6408691  ,  -0.9368896  
  -0.3936768  ,  -6.465839E-02  ,  -3.051758E-03  ,  0.3387451  ,  -0.4943848  
  -0.793457  ,  9.650505E-02  ,  -0.100708  ,  0.2380371  ,  -0.5279541  
  -0.8209229  ,  0.2451228  ,  0.2410889  ,  0.112915  ,  -0.6256104  
  0.1312256  ,  0.1823946  ,  0.3601074  ,  0.4150391  ,  -0.9063721  
  -1.107788  ,  2.412626E-02  ,  -0.4272461  ,  -9.460449E-02  ,  -0.8880615  
  0.7598877  ,  -4.439232E-02  ,  -1.11084  ,  0.3082275  ,  -1.248169  
  0.2685547  ,  1.061556E-02  ,  -0.881958  ,  0.5187988  ,  -1.202393  
  -1.141357  ,  -1.930101E-03  ,  -0.9429932  ,  -3.051758E-03  ,  -0.6225586  
  -1.016235  ,  0.2451228  ,  -0.8117676  ,  -0.2410889  ,  -0.567627  
  -0.7507324  ,  0.3889154  ,  0.2044678  ,  -0.1647949  ,  -1.074219  
  0.5615234  ,  0.4371679  ,  1.089478  ,  0.3997803  ,  -1.571655  
  0.7293701  ,  0.3831251  ,  1.089478  ,  0.4760742  ,  -1.61438  
  1.99585  ,  -6.948364E-02  ,  0.112915  ,  1.095581  ,  -1.547241  
  1.834106  ,  -0.3541736  ,  -1.937866  ,  1.263428  ,  -0.9063721  
  -0.2380371  ,  -0.1061556  ,  -2.282715  ,  0.7720947  ,  -0.4577637  
  -1.245117  ,  -9.650505E-04  ,  -2.114868  ,  0.2044678  ,  -0.1373291  
  0.4180908  ,  2.412626E-02  ,  -2.297974  ,  0.3448486  ,  -0.692749  
  0.6011963  ,  0.4217271  ,  -0.6530762  ,  0.8514404  ,  -1.489258  
  -0.3814697  ,  0.4033911  ,  0.6317139  ,  0.8056641  ,  -1.641846  
  -0.7659912  ,  0.2731093  ,  0.4669189  ,  0.4180908  ,  -1.550293  
  -6.408691E-02  ,  0.2316121  ,  0.4241943  ,  0.5340576  ,  -1.84021  
  -4.577637E-02  ,  0.076239  ,  -0.201416  ,  0.5584717  ,  -1.394653  
  -0.2929688  ,  0.1553731  ,  -0.2380371  ,  0.4608154  ,  -0.9185791  
  -0.3112793  ,  -0.1823946  ,  -1.196289  ,  0.3387451  ,  -0.5096436  
  -0.5981445  ,  -0.113876  ,  -2.438354  ,  -4.577637E-02  ,  -0.2532959  
  -0.6317139  ,  -0.0820293  ,  -2.450562  ,  -7.629395E-02  ,  -0.2716064  
  -1.333618  ,  5.886808E-02  ,  -2.096558  ,  -0.7202148  ,  -1.004028  
  -0.4150391  ,  1.544081E-02  ,  -2.325439  ,  -0.5523682  ,  -1.177979  
  -0.1922607  ,  5.983314E-02  ,  -2.368164  ,  -0.3814697  ,  -1.116943  
  -0.2319336  ,  0.1399323  ,  -1.873779  ,  -0.2075195  ,  -1.263428  
  -0.112915  ,  0.3561037  ,  -0.8972168  ,  -3.051758E-03  ,  -1.522827  
  0.592041  ,  0.2190665  ,  -0.3112793  ,  0.4486084  ,  -1.791382  
  0.5706787  ,  0.1949402  ,  -0.3479004  ,  0.4516602  ,  -1.797485  
  -0.2929688  ,  0.2316121  ,  -0.8575439  ,  0.3265381  ,  -1.51062  
  -2.337646  ,  0.1939752  ,  -0.592041  ,  -0.4760742  ,  -1.013184  
  -1.986694  ,  0.2817948  ,  -0.4486084  ,  -1.052856  ,  -0.5004883  
  -1.953125  ,  0.2798647  ,  -0.4516602  ,  -1.05896  ,  -0.5065918  
  0.6958008  ,  0.4082164  ,  0.50354  ,  -0.1434326  ,  -0.9490967  
  -0.2319336  ,  0.4777  ,  1.327515  ,  8.850098E-02  ,  -1.400757  
  -2.133179  ,  0.0916798  ,  0.6011963  ,  -0.7507324  ,  -1.098633  
  -0.6378174  ,  0.324257  ,  -1.12915  ,  -1.409912  ,  -0.7049561  
  1.464844  ,  0.4342728  ,  0.5950928  ,  -3.051758E-03  ,  -1.766968  
  -1.345825  ,  -4.053212E-02  ,  -0.1556396  ,  -0.680542  ,  -1.171875  
  0.6256104  ,  -0.1785344  ,  -1.794434  ,  -0.3997803  ,  -0.9857178  
  0.9063721  ,  8.878465E-02  ,  -1.818848  ,  0.1464844  ,  -1.193237  
  0.8789063  ,  0.3715445  ,  -0.5554199  ,  0.6103516  ,  -1.239014  
  -0.3997803  ,  0.1177362  ,  -0.3997803  ,  0.4089355  ,  -1.062012  
  -0.9307861  ,  0.2595986  ,  -0.4943848  ,  -0.1037598  ,  -0.7995605  
  0.7354736  ,  0.4062863  ,  0.5706787  ,  0.5645752  ,  -1.254272  
  -0.3112793  ,  0.1659887  ,  0.6530762  ,  0.4486084  ,  -1.165771  
  1.257324  ,  7.816909E-02  ,  0.2197266  ,  0.8453369  ,  -1.168823  
  0.5004883  ,  -0.1380022  ,  -0.869751  ,  0.9368896  ,  -1.309204  
  -1.263428  ,  0.2354723  ,  -0.8453369  ,  0.3326416  ,  -1.098633  
  -3.326416  ,  0.4024261  ,  0.3967285  ,  -0.6591797  ,  -0.8911133  
  -1.028442  ,  0.2557384  ,  0.4852295  ,  -0.6469727  ,  -1.101685  
  0.6591797  ,  6.176323E-02  ,  -4.577637E-02  ,  5.187988E-02  ,  -1.376343  
  7.629395E-02  ,  -2.123111E-02  ,  -0.5096436  ,  -3.356934E-02  ,  -1.147461  
  0.2471924  ,  0.3889154  ,  0.1434326  ,  0.2838135  ,  -1.208496  
  -0.4882813  ,  0.4429582  ,  1.309204  ,  0.3265381  ,  -1.425171  
