  Ex = [mV]  , Ey = [mV]  , Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  17.51567  ,  -3.417969  ,  3.213618  ,  2.587891  ,  -10.19287  
  2.364374  ,  -14.34326  ,  -5.240224  ,  0.3875732  ,  2.258301  
  -9.679457  ,  -14.77051  ,  -9.457495  ,  -1.107788  ,  15.77759  
  -14.91003  ,  -3.601074  ,  -7.865161  ,  -1.596069  ,  23.22388  
  -13.14399  ,  10.52856  ,  -0.994002  ,  -1.208496  ,  19.86694  
  1.080857  ,  20.47729  ,  5.307777  ,  0.189209  ,  10.0708  
  16.04879  ,  25.20752  ,  10.86647  ,  2.313232  ,  -2.166748  
  21.19251  ,  19.9585  ,  13.09573  ,  3.662109  ,  -11.65771  
  18.45177  ,  3.967285  ,  7.65285  ,  3.201294  ,  -12.02393  
  2.769695  ,  -9.277344  ,  -1.930101E-02  ,  1.080322  ,  -3.143311  
  -16.94629  ,  -17.27295  ,  -8.116075  ,  -2.18811  ,  10.19287  
  -27.16617  ,  -13.3667  ,  -11.96663  ,  -4.473877  ,  21.33179  
  -23.99116  ,  3.234863  ,  -7.401937  ,  -4.156494  ,  24.10889  
  -7.07382  ,  16.35742  ,  0.4825252  ,  -1.864624  ,  17.02881  
  12.82552  ,  24.96338  ,  8.019569  ,  1.147461  ,  4.730225  
  22.63043  ,  24.93286  ,  12.13068  ,  3.018188  ,  -7.659912  
  21.70399  ,  11.13892  ,  9.640854  ,  2.975464  ,  -13.70239  
  11.98593  ,  -3.814697  ,  1.901149  ,  1.449585  ,  -7.965088  
  -4.825253  ,  -14.37378  ,  -6.021915  ,  -1.113892  ,  4.608154  
  -15.94263  ,  -14.37378  ,  -10.13303  ,  -2.883911  ,  17.66968  
  -16.40586  ,  -1.861572  ,  -7.739705  ,  -2.731323  ,  24.20044  
  -8.868814  ,  13.12256  ,  0.5597293  ,  -0.9490967  ,  19.86694  
  6.523741  ,  23.65112  ,  8.444192  ,  1.528931  ,  8.911133  
  16.74363  ,  26.76392  ,  13.85812  ,  3.256226  ,  -4.119873  
  17.02349  ,  18.55469  ,  14.18624  ,  3.314209  ,  -13.61084  
  12.75797  ,  1.00708  ,  6.552693  ,  1.9104  ,  -12.69531  
  -1.756392  ,  -12.08496  ,  -2.335422  ,  -0.4516602  ,  -2.258301  
  -17.65077  ,  -17.1814  ,  -9.332038  ,  -2.911377  ,  11.93237  
  -24.33857  ,  -10.46753  ,  -10.66381  ,  -3.90625  ,  22.43042  
  -19.99585  ,  6.286621  ,  -4.448883  ,  -2.728271  ,  23.59009  
  -3.44523  ,  18.03589  ,  3.271521  ,  -0.3509521  ,  15.31982  
  15.46976  ,  25.48218  ,  10.20058  ,  2.279663  ,  2.990723  
  26.01776  ,  24.87183  ,  13.96428  ,  3.85437  ,  -8.758545  
  28.38214  ,  10.95581  ,  11.5227  ,  4.293823  ,  -14.16016  
  17.91134  ,  -4.02832  ,  3.947057  ,  3.216553  ,  -8.300781  
  -6.060517  ,  -16.69312  ,  -5.684147  ,  -0.390625  ,  4.486084  
  -24.65704  ,  -17.8833  ,  -12.60356  ,  -4.309082  ,  18.12744  
  -26.35553  ,  -3.967285  ,  -11.49375  ,  -5.340576  ,  25.20752  
  -15.80753  ,  12.51221  ,  -2.470529  ,  -3.305054  ,  20.90454  
  1.930101  ,  23.89526  ,  6.639547  ,  -0.2227783  ,  9.70459  
  13.69407  ,  26.70288  ,  12.3623  ,  1.916504  ,  -3.509521  
  15.43116  ,  17.82227  ,  12.32369  ,  2.334595  ,  -12.96997  
  13.80022  ,  0.8239746  ,  4.555038  ,  1.391602  ,  -11.87134  
  3.223269  ,  -11.35254  ,  -3.416279  ,  -0.1403809  ,  -1.525879  
  -10.44185  ,  -15.77759  ,  -9.167979  ,  -1.885986  ,  12.29858  
  -18.10435  ,  -9.429932  ,  -10.09443  ,  -2.84729  ,  22.27783  
  -16.59887  ,  6.317139  ,  -4.20762  ,  -2.175903  ,  22.94922  
  -2.663539  ,  17.66968  ,  2.750394  ,  -0.402832  ,  14.67896  
  13.99323  ,  24.9939  ,  9.148679  ,  1.730347  ,  2.532959  
  21.40482  ,  23.68164  ,  12.29474  ,  2.828979  ,  -8.850098  
  20.43977  ,  8.666992  ,  8.463492  ,  2.359009  ,  -13.42773  
  11.62886  ,  -5.157471  ,  0.6272828  ,  1.104736  ,  -6.774902  
  -4.197969  ,  -14.64844  ,  -6.909761  ,  -0.8911133  ,  6.04248  
  -15.66277  ,  -14.03809  ,  -10.66381  ,  -2.426147  ,  18.67676  
  -17.39986  ,  -1.281738  ,  -8.23188  ,  -2.536011  ,  24.6582  
  -10.57695  ,  12.54272  ,  -0.6562343  ,  -1.330566  ,  19.80591  
  3.734745  ,  22.97974  ,  6.69745  ,  0.5950928  ,  8.575439  
